gene.ids,SRX003935,SRX003921,SRX003924,SRX003923,SRX003925,SRX003932,SRX003920,SRX003922,SRX001291,SRX001364,SRX001365,SRX001366,SRX001367,SRX001368,SRX003931,SRX003929,SRX003928,SRX003934,SRX003926,SRX003927,SRX003930,SRX003933
ENSG00000119638,796,684,19,188,824,1134,278,631,392,329,1130,1162,1366,1237,850,814,394,1189,238,372,881,1602
ENSG00000119640,63,90,192,140,200,43,107,37,162,120,341,399,364,400,160,39,8,162,130,146,71,200
ENSG00000119650,151,195,164,351,468,151,51,105,37,52,129,98,138,129,128,82,103,112,42,31,46,386
ENSG00000119655,304,910,510,509,667,1843,222,579,22,23,73,61,95,49,902,329,346,1342,90,324,305,3198
ENSG00000119661,24,46,65,64,114,62,266,70,88,57,181,202,150,216,44,50,32,45,164,42,26,230
ENSG00000119669,1654,2064,1728,2519,1179,3818,1365,2084,506,374,1529,1548,2301,2019,4960,378,743,3786,618,566,832,4513
ENSG00000119673,328,41,88,109,389,186,26,260,8,11,42,38,39,43,74,191,199,53,15,21,72,86
ENSG00000119681,14,802,35,140,108,6751,74,2134,42,55,141,108,141,138,2847,622,40,2735,51,102,1238,4302
ENSG00000119684,144,85,111,179,124,65,78,81,67,57,191,173,188,215,80,76,75,152,126,76,94,175
ENSG00000119686,52,57,21,226,80,84,12,24,3,1,4,8,11,7,24,19,382,104,5,26,98,343
ENSG00000119689,306,291,341,267,389,496,133,201,158,152,395,274,248,259,371,296,209,351,79,160,375,379
ENSG00000119699,656,25,73,84,932,309,314,245,91,70,159,209,221,200,468,173,76,806,151,26,838,1306
ENSG00000119703,3,0,7,5,26,8,23,7,4,3,15,10,10,12,26,42,30,11,7,6,14,1295
ENSG00000119705,138,89,318,174,225,154,156,83,55,43,127,137,97,88,211,190,323,203,156,131,148,363
ENSG00000119707,1736,1156,1476,1408,1824,1154,813,2386,767,549,1925,2148,1947,2137,1173,427,315,889,718,694,899,1836
ENSG00000119711,92,29,36,95,285,192,587,156,25,28,138,113,148,140,139,165,519,93,150,38,172,180
ENSG00000119714,305,27,9,156,81,37,15,30,35,33,185,138,180,106,30,8,0,238,28,26,6,104
ENSG00000119718,332,361,844,611,795,409,256,165,97,91,311,315,331,310,409,201,188,460,117,190,941,959
